Gem Name,Tier,IsLineage,Tags
Boneshatter,1,False,"Attack,AoE,Melee,Strike"
Earthquake,1,False,"Attack,AoE,Melee,Slam,Duration"
Rolling Slam,1,False,"Attack,AoE,Melee,Slam"
Armour Breaker,3,False,"Attack,AoE,Melee,Strike,Physical"
Infernal Cry,3,False,"Warcry,AoE,Trigger,Fire,Duration,Nova"
Shield Charge,3,False,"Attack,AoE,Melee,Physical,Channelling,Travel"
Shockwave Totem,3,False,"Attack,Totem,AoE,Melee,Slam,Duration,Nova"
Molten Blast,5,False,"Attack,AoE,Projectile,Fire"
Perfect Strike,5,False,"Attack,AoE,Melee,Strike,Fire,Channelling"
Resonating Shield,5,False,"Attack,AoE,Melee,Sustained,Physical,Channelling"
Earthshatter,7,False,"Attack,AoE,Melee,Slam,Duration"
Leap Slam,7,False,"Attack,AoE,Melee,Slam,Travel,Payoff"
Shield Wall,7,False,"Attack,AoE,Melee,Physical,Duration"
Volcanic Fissure,7,False,"Attack,AoE,Melee,Slam,Sustained,Fire,Duration"
Forge Hammer,9,False,"Attack,AoE,Melee,Slam,Sustained,Fire,Duration"
Fortifying Cry,9,False,"Warcry,Attack,AoE,Melee,Trigger,Physical,Duration,Nova"
Sunder,9,False,"Attack,AoE,Melee,Slam,Duration,Payoff"
Seismic Cry,11,False,"Warcry,AoE,Physical,Nova"
Stampede,11,False,"Attack,AoE,Melee,Slam,Duration,Travel"
Supercharged Slam,11,False,"Attack,AoE,Melee,Slam,Channelling,Staged"
Ancestral Cry,13,False,"Warcry,Attack,Buff,AoE,Melee,Slam,Projectile,Trigger,Fire,Duration,Nova,Conditional"
Ancestral Warrior Totem,13,False,"Attack,Totem,AoE,Melee,Duration,Conditional,Meta"
Hammer of the Gods,13,False,"Attack,AoE,Melee,Slam,Duration,Conditional"
Companion: {0},1,False,"Minion,Companion,Persistent"
Disengage,1,False,"Attack,AoE,Melee,Strike,Travel"
Escape Shot,1,False,"Attack,AoE,Projectile,Trigger,Cold"
Explosive Spear,1,False,"Attack,AoE,Projectile,Fire,Duration,Detonator,Barrageable"
Lightning Arrow,1,False,"Attack,AoE,Projectile,Lightning,Chaining,Barrageable"
Lightning Rod,1,False,"Attack,AoE,Projectile,Sustained,Lightning,Duration,Barrageable"
Poisonburst Arrow,1,False,"Attack,AoE,Projectile,Chaos,Duration,Barrageable"
Twister,1,False,"Attack,AoE,Projectile,Duration,Barrageable,Wind"
Whirling Slash,1,False,"Attack,AoE,Melee,Strike,Staged,Wind"
Cull The Weak,3,False,"Attack,AoE,Melee,Strike"
Fangs of Frost,3,False,"Attack,AoE,Melee,Strike,Cold"
Freezing Salvo,3,False,"Attack,AoE,Projectile,Cold"
Lightning Spear,3,False,"Attack,AoE,Projectile,Lightning,Barrageable"
Rake,3,False,"Attack,AoE,Melee,Strike,Physical"
Snipe,3,False,"Attack,AoE,Projectile,Cold,Channelling,Payoff,Barrageable"
Stormcaller Arrow,3,False,"Attack,AoE,Projectile,Lightning,Duration,Barrageable"
Vine Arrow,3,False,"Attack,AoE,Projectile,Chaos,Duration,Barrageable,Plant"
Barrage,5,False,"Spell,Buff,Duration"
Electrocuting Arrow,5,False,"Attack,AoE,Projectile,Lightning,Duration,Barrageable"
Ice-Tipped Arrows,5,False,"Spell,Attack,Buff,AoE,Projectile,Trigger,Cold,Duration"
Rapid Assault,5,False,"Attack,AoE,Melee,Strike,Physical,Duration"
Spearfield,5,False,"Attack,AoE,Melee,Sustained,Duration,Hazard"
Storm Lance,5,False,"Attack,AoE,Projectile,Sustained,Lightning,Duration,Barrageable"
Toxic Growth,5,False,"Attack,AoE,Projectile,Chaos,Barrageable,Plant"
Blood Hunt,7,False,"Attack,AoE,Melee,Strike,Physical,Payoff"
Gas Arrow,7,False,"Attack,AoE,Projectile,Fire,Chaos,Duration,Barrageable"
Glacial Lance,7,False,"Attack,AoE,Projectile,Cold,Duration,Barrageable"
Primal Strikes,7,False,"Attack,AoE,Melee,Strike,Lightning,Payoff"
Sniper's Mark,7,False,"Mark,Duration"
Voltaic Mark,7,False,"Mark,Buff,Lightning,Duration"
Bloodhound's Mark,9,False,"Mark,Attack,AoE,Trigger,Physical,Duration,Payoff"
Detonating Arrow,9,False,"Attack,AoE,Projectile,Fire,Channelling,Detonator,Staged,Barrageable"
Ice Shot,9,False,"Attack,Projectile,Cold,Barrageable"
Rain of Arrows,9,False,"Attack,AoE,Projectile,Sustained"
Tame Beast,9,False,"Minion,Companion,Persistent,Duration"
Thunderous Leap,9,False,"Attack,AoE,Melee,Slam,Lightning,Detonator,Travel"
Elemental Sundering,11,False,"Attack,AoE,Melee,Lightning,Cold,Fire,Nova,Payoff"
Shockchain Arrow,11,False,"Attack,AoE,Projectile,Lightning,Chaining,Payoff,Barrageable"
Tornado Shot,11,False,"Attack,AoE,Projectile,Physical,Duration,Barrageable,Wind"
Whirlwind Lance,11,False,"Attack,AoE,Projectile,Duration,Barrageable,Wind"
Magnetic Salvo,13,False,"Attack,AoE,Projectile,Lightning"
Spear of Solaris,13,False,"Attack,AoE,Projectile,Sustained,Fire,Conditional"
Spiral Volley,13,False,"Attack,Projectile,Sustained"
Toxic Domain,13,False,"Buff,Attack,AoE,Physical,Chaos,Duration,Plant"
Wind Serpent's Fury,13,False,"Attack,AoE,Melee,Sustained,Conditional,Wind"
Bone Blast,1,False,"Spell,AoE,Physical,Duration"
Cast on Freeze,1,False,"Buff,Persistent,Trigger,Cold,Meta"
Cast on Ignite,1,False,"Buff,Persistent,Trigger,Fire,Meta"
Cast on Shock,1,False,"Buff,Persistent,Trigger,Lightning,Meta"
Chaos Bolt,1,False,"Spell,Projectile,Chaos"
Conductivity,1,False,"Spell,AoE,Lightning,Duration,Curse"
Decompose,1,False,"Spell,AoE,Fire,Chaos,Duration"
[DNT] Crushing Earth,1,False,"Spell,AoE,Physical,Duration"
Dark Pact,1,False,"Spell,Minion,AoE,Chaos,Nova"
Discipline,1,False,"Buff,Persistent,Aura"
Enervating Nova,1,False,"Spell,AoE,Lightning,Duration,Nova"
Exsanguinate,1,False,"Spell,Physical,Duration,Chaining"
Feast of Flesh,1,False,"Spell,Buff,AoE,Nova"
Firebolt,1,False,"Spell,AoE,Projectile,Fire"
Flammability,1,False,"Spell,AoE,Fire,Duration,Curse"
Freezing Shards,1,False,"Spell,Projectile,Cold"
Fulmination,1,False,"Buff,Persistent,Aura,Lightning"
Galvanic Field,1,False,"Buff,Spell,AoE,Sustained,Lightning,Duration,Chaining,Orb"
Heart of Ice,1,False,"Spell,Buff,Persistent,Aura,Cold"
Hypothermia,1,False,"Spell,AoE,Cold,Duration,Curse"
Impurity,1,False,"Buff,Persistent,Aura,Chaos"
Lightning Bolt,1,False,"Spell,AoE,Lightning"
Malice,1,False,"Buff,Persistent,Aura,Duration"
Mana Drain,1,False,Spell
Mirror of Refraction,1,False,"Buff,Persistent,Duration"
Power Siphon,1,False,"Spell,Physical"
Purity of Fire,1,False,"Buff,Persistent,Aura,Fire"
Purity of Ice,1,False,"Buff,Persistent,Aura,Cold"
Purity of Lightning,1,False,"Buff,Persistent,Aura,Lightning"
Reap,1,False,"Spell,AoE,Physical,Duration"
Sigil of Power,1,False,"Spell,AoE,Duration,Staged"
Skeletal Sniper,1,False,"Minion,Persistent,Physical,Fire,Chaos"
Skeletal Warrior,1,False,"Minion,Persistent,Physical"
Solar Orb,1,False,"Spell,AoE,Sustained,Fire,Duration,Orb"
Soulrend,1,False,"Spell,Projectile,Chaos,Duration"
Spellslinger,1,False,"Buff,Persistent,Trigger,Invocation,Meta"
Lightning Bolt,1,False,"Spell,AoE,Trigger,Lightning"
Ember Fusillade,1,False,"Spell,AoE,Projectile,Trigger,Fire,Duration"
Spark,1,False,"Spell,Projectile,Trigger,Lightning,Cold,Duration"
Unleash,1,False,"Spell,Buff,Duration"
Volatile Dead,1,False,"Spell,AoE,Fire"
Wither,1,False,"Spell,AoE,Chaos,Duration,Channelling"
Contagion,1,False,"Spell,AoE,Chaos,Duration"
Flame Wall,1,False,"Spell,AoE,Fire,Duration"
Frost Bomb,1,False,"Spell,AoE,Cold,Duration,Orb,Remnant"
Ice Nova,1,False,"Spell,AoE,Cold,Duration,Nova"
Skeletal Sniper,1,False,"Minion,Persistent,Physical,Fire,Chaos"
Spark,1,False,"Spell,Projectile,Lightning,Duration"
Unearth,1,False,"Spell,Minion,AoE,Physical,Duration"
Bone Cage,3,False,"Spell,AoE,Physical,Duration,Nova"
Enfeeble,3,False,"Spell,AoE,Duration,Curse"
Essence Drain,3,False,"Spell,Projectile,Chaos,Duration"
Fireball,3,False,"Spell,AoE,Projectile,Fire"
Frost Darts,3,False,"Spell,AoE,Projectile,Cold,Payoff"
Living Bomb,3,False,"Spell,AoE,Fire,Duration,Remnant"
Orb of Storms,3,False,"Spell,AoE,Sustained,Lightning,Duration,Chaining,Orb,Remnant"
Skeletal Arsonist,3,False,"Minion,Persistent,Fire,Detonator"
Arc,5,False,"Spell,Projectile,Lightning,Chaining"
Bonestorm,5,False,"Spell,AoE,Projectile,Sustained,Physical,Channelling"
Ember Fusillade,5,False,"Spell,AoE,Projectile,Fire,Duration"
Frostbolt,5,False,"Spell,AoE,Projectile,Cold"
Pain Offering,5,False,"Minion,Buff,AoE,Duration,Barrageable"
Raise Zombie,5,False,"Minion,Physical,Duration"
Skeletal Frost Mage,5,False,"Minion,Persistent,Cold"
Snap,5,False,"Spell,AoE,Lightning,Cold,Fire,Payoff,Remnant"
Bind Spectre,7,False,"Minion,Persistent"
Detonate Dead,7,False,"Spell,AoE,Physical,Fire,Detonator"
Elemental Weakness,7,False,"Spell,AoE,Lightning,Cold,Fire,Duration,Curse"
Mana Tempest,7,False,"Spell,Buff,Lightning,Storm"
Profane Ritual,7,False,"Spell,AoE,Chaos,Duration"
Temporal Chains,7,False,"Spell,AoE,Duration,Curse"
Vulnerability,7,False,"Spell,AoE,Physical,Duration,Curse"
Dark Effigy,9,False,"Spell,Totem,AoE,Projectile,Chaos,Duration"
Despair,9,False,"Spell,AoE,Chaos,Duration,Curse"
Frost Wall,9,False,"Spell,AoE,Cold,Duration"
Incinerate,9,False,"Spell,AoE,Sustained,Fire,Duration,Channelling"
Lightning Warp,9,False,"Spell,AoE,Lightning,Duration,Remnant"
Skeletal Reaver,9,False,"Minion,Persistent,Physical"
Ball Lightning,11,False,"Spell,AoE,Projectile,Sustained,Lightning,Duration,Chaining"
